Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
Bakushou,syudou,176,"anime, vocaloid",Pop,48,97,0,0,77,0,20,-2,Angry
Shadow Shadow,Azari,135,vocaloid,Pop,78,91,3,3,85,0,30,-4,Angry
Outer Science,Jin,195,"anime rock, vocaloid","Rock, Pop",52,92,0,27,48,20,30,-4,Angry
Brain Revolution Girl 2016 ver.,Maretu,120,"anime rock, vocaloid","Rock, Pop",73,92,4,1,91,0,0,-3,Angry
Tokyo Teddy Bear,"Neru,IKASAN",102,"vocaloid, vocaloid metal, anime rock","Rock, Pop, Metal",57,91,0,0,78,0,0,-3,Angry
BUG,Kairikibear,93,"anime rock, jirai kei, vocaloid","Rock, Pop",62,96,11,0,91,0,30,-1,Angry
マフィア,wotaku,105,vocaloid,Pop,68,78,16,1,62,0,10,-4,Angry
脳漿炸裂ガール 2015ver.,rerulili,155,"anime rock, vocaloid","Rock, Pop",43,97,4,0,68,10,30,-3,Angry
I am you,rerulili,185,"anime rock, vocaloid","Rock, Pop",60,86,1,0,68,0,30,-4,Angry
炉心融解,iroha(sasaki),165,vocaloid,Pop,56,98,3,0,38,10,20,0,Angry
Loveit?,"biz,ZERA,LOLUET",144,"vocaloid,",Pop,58,81,3,0,67,10,20,-5,Angry
てらてら - VOCALOID ver,WADATAKEAKI,95,vocaloid,Pop,58,81,0,0,96,10,40,-6,Angry
Streaming Heart,"DECO*27,Hatsune Miku",105,"anime rock, j-pixie, vocaloid,","Rock, Pop",60,96,0,1,60,10,30,-4,Angry
Bitter Choco Decoration,syudou,87,"anime, vocaloid",Pop,55,88,5,0,88,10,40,-2,Angry
Wozwald,"Yuu Miyashita,NILFRUITS",139,"anime rock, vocaloid","Rock, Pop",73,74,6,2,91,10,30,-7,Angry
