Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
As It Was,Harry Styles,174,pop,Pop,52,73,34,0,66,0,30,-5,Happy
Less Than Zero,The Weeknd,143,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",54,79,0,0,50,0,0,-6,Happy
I Ain't Worried,OneRepublic,140,"piano rock, pop","Rock, Pop",70,80,8,0,83,0,0,-6,Happy
Loverboy,A-Wall,120,bedroom pop,Pop,60,47,65,3,50,0,0,-10,Happy
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne,Wiz Khalifa,Imagine Dragons,X Ambassadors,Logic,Ty Dolla $ign",169,"hip hop, new orleans rap, pop rap, rap, trap, pittsburgh rap, southern hip hop, modern rock, pop, rock, modern alternative rock, stomp pop, conscious hip hop, r&b, trap soul","Hip Hop, Rock, Pop, R&B",50,79,26,0,74,30,60,-4,Happy
Safe And Sound,Capital Cities,118,"metropopolis, modern rock","Electronic, Rock",66,82,0,0,77,0,10,-5,Happy
Pompeii,Bastille,127,"metropopolis, modern rock, pop","Electronic, Rock, Pop",68,72,8,0,57,0,20,-6,Happy
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",146,"pop rap, seattle hip hop, pop dance","Electronic, Hip Hop",64,92,3,0,85,0,0,-4,Happy
Somebody Else,The 1975,101,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",62,79,20,2,46,0,10,-6,Happy
The Night We Met,Lord Huron,87,"indie folk, stomp and holler",Folk/Acoustic,54,37,97,28,10,0,60,-10,Sad
Brave,Riley Pearce,116,"australian singer-songwriter, indie anthem-folk, modern indie folk",Folk/Acoustic,52,41,57,0,23,0,10,-11,Sad
Leave a Light On,Tom Walker,69,"indie anthem-folk, uk pop","Folk/Acoustic, Pop",59,62,2,0,27,10,10,-6,Sad
In My Veins - Feat. Erin Mccarley,Andrew Belle,128,acoustic pop,Pop,55,42,20,0,20,0,0,-8,Sad
Sense of Home,Harrison Storm,140,"indie anthem-folk, modern indie folk",Folk/Acoustic,56,21,89,0,9,0,10,-11,Sad
Cinnamon,Jome,140,folk-pop,Pop,46,47,58,0,25,0,10,-11,Sad
wide eyed,JAWNY,127,"bedroom pop, pov: indie",Pop,68,74,6,0,90,0,0,-4,Sad
Change It All,Harrison Storm,121,"indie anthem-folk, modern indie folk",Folk/Acoustic,45,30,63,1,24,0,10,-13,Sad
What's Good,Fenne Lily,134,"bristol indie, british singer-songwriter","Rock, Folk/Acoustic",43,16,93,0,24,0,10,-15,Sad
Tired and Awake,Oliver Riot,77,,,29,24,88,0,22,0,10,-14,Sad
Dragonfly,Dana and Alden,150,,,33,45,23,89,18,0,10,-9,Sad
I got You,Piano Project,97,piano cover,New age,63,13,99,96,63,0,10,-22,Sad
killing time,Loveless,146,pop punk,Rock,44,95,0,0,50,0,10,-4,Sad
Leaving on a Jet Plane,John Denver,133,"classic country pop, folk, folk rock, mellow gold, singer-songwriter, soft rock","Pop, Folk/Acoustic, Rock",49,28,68,0,47,0,10,-12,Sad
Leaves,Ben&Ben,118,opm,Pop,45,16,91,0,21,0,0,-11,Sad
"Flightless Bird, American Mouth",Iron & Wine,155,"acoustic pop, chamber pop, indie folk, indie rock, stomp and holler","Pop, Folk/Acoustic, Rock",37,40,83,5,18,0,10,-8,Sad
9 Crimes,Damien Rice,136,"irish rock, irish singer-songwriter, neo mellow, singer-songwriter","Rock, Folk/Acoustic",35,14,91,0,12,0,0,-15,Sad
"If I Go, I'm Goin",Gregory Alan Isakov,114,"indie folk, pop folk, stomp and flutter, stomp and holler",Folk/Acoustic,51,6,78,3,19,0,10,-17,Sad
Apocalypse,Cigarettes After Sex,94,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",37,47,2,57,18,0,10,-9,Sad
exile (feat. Bon Iver),"Taylor Swift,Bon Iver",76,"pop, chamber pop, eau claire indie, indie folk, melancholia, modern rock","Pop, Folk/Acoustic, Rock",30,38,78,0,15,0,10,-8,Sad
I Will Follow You Into the Dark,Jasmine Thompson,140,viral pop,Pop,54,23,93,0,31,0,10,-11,Sad
Sweet,Cigarettes After Sex,97,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",45,51,35,77,12,0,10,-9,Sad
Heavenly,Cigarettes After Sex,105,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",54,44,67,69,13,0,10,-9,Sad
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,97,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",51,33,26,15,10,0,10,-14,Sad
K.,Cigarettes After Sex,94,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",45,40,14,85,33,0,10,-10,Sad
1000x,"Jarryd James,BROODS",112,"australian alternative pop, australian r&b, auckland indie, etherpop, indietronica, metropopolis, nz pop","Rock, Pop, R&B, Electronic",55,58,16,3,6,0,0,-7,Sad
All I Want,Kodaline,187,"irish pop, modern rock, neo mellow","Pop, Rock, Folk/Acoustic",19,41,17,15,16,0,0,-10,Sad
Vienna,Billy Joel,125,"album rock, classic rock, heartland rock, mellow gold, piano rock, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic",53,50,66,0,31,0,0,-7,Sad
Love Like This,Ben Rector,140,"acoustic pop, indiecoustica, lds youth, neo mellow, piano rock","Pop, Folk/Acoustic, Rock",64,14,90,0,39,0,10,-11,Sad
Heal,Tom Odell,72,chill pop,Pop,45,18,95,0,12,0,10,-13,Sad
5:00 AM,"LSP,MORGENSHTERN",175,"belarusian hip hop, russian alt pop, russian hip hop, russian trap","Hip Hop, Pop",67,55,3,0,62,0,40,-7,Sad
To The Sea,Jack Johnson,160,neo mellow,Folk/Acoustic,59,43,56,0,52,0,20,-8,Sad
