Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
Back To December,Taylor Swift,142,pop,Pop,52,61,2,0,30,0,30,-6,Sad
Almost Is Never Enough,"Ariana Grande,Nathan Sykes",81,"pop, post-teen pop, talent show, teen pop",Pop,32,33,83,0,33,0,10,-7,Sad
When You're Gone,Avril Lavigne,142,"canadian pop, candy pop, dance pop, pop",Pop,46,72,19,0,17,0,20,-4,Sad
Tadhana,Up Dharma Down,156,opm,Pop,69,32,16,3,51,0,0,-13,Sad
The Day You Said Goodnight,Hale,134,"opm, pinoy reggae",Pop,56,56,51,0,24,0,10,-7,Sad
Walang Hanggan,Quest,107,pinoy rock,Rock,46,24,91,0,40,0,0,-16,Sad
All Too Well,Taylor Swift,93,pop,Pop,60,61,4,0,34,0,10,-8,Sad
The Way I Loved You,Taylor Swift,161,pop,Pop,44,71,3,0,38,0,10,-4,Sad
I'm Not The Only One,Sam Smith,82,"pop, uk pop",Pop,68,49,53,0,49,0,0,-6,Sad
Chasing Pavements,Adele,80,"british soul, pop, pop soul, uk pop","R&B, Pop",62,47,29,0,33,0,10,-6,Sad
Someone Like You,Adele,135,"british soul, pop, pop soul, uk pop","R&B, Pop",56,32,89,0,29,0,10,-8,Sad
Happier,Ed Sheeran,90,"pop, singer-songwriter pop, uk pop",Pop,52,39,54,0,24,0,10,-7,Sad
I Love You So,The Walters,76,"chicago indie, pov: indie","Rock, Pop",57,65,58,0,47,0,10,-5,Sad
Supermarket Flowers,Ed Sheeran,90,"pop, singer-songwriter pop, uk pop",Pop,59,24,91,0,26,0,0,-11,Sad
Talking to the Moon,Bruno Mars,146,"dance pop, pop",Pop,50,59,51,0,8,0,10,-5,Sad
Someday,Nina,133,opm,Pop,56,21,94,0,51,0,10,-11,Sad
Teka Lang,Emman,87,"opm, pinoy hip hop, tagalog rap","Pop, Hip Hop",56,24,75,0,26,0,10,-13,Sad
Through The Years,Kenny Rogers,131,"classic country pop, country, nashville sound, soft rock","Pop, Country, Rock",59,39,23,0,27,0,10,-11,Sad
vampire,Olivia Rodrigo,138,pop,Pop,51,53,18,0,35,0,20,-6,Angry
get him back!,Olivia Rodrigo,162,pop,Pop,55,85,1,0,74,10,60,-6,Angry
good 4 u,Olivia Rodrigo,167,pop,Pop,56,66,34,0,69,10,0,-5,Angry
