#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
14,Cold,"Aqualung,Lucy Schwartz",51,105,"piano rock, southampton indie, acoustic pop","Pop, Rock",26,13,98,1,8,0,10,-14 db,Sad
15,Iris,The Goo Goo Dolls,88,156,"neo mellow, permanent wave, pop rock, post-grunge","Folk/Acoustic, Rock, Metal",32,72,0,0,50,0,0,-8 db,Sad
16,Kalawakan,juan karlos,45,120,opm,Pop,62,40,31,0,60,0,20,-8 db,Sad
17,Paubaya,Moira Dela Torre,63,127,opm,Pop,37,25,77,0,17,0,0,-12 db,Sad
18,Breakeven,The Script,77,94,"celtic rock, pop","Rock, Pop",63,70,14,0,49,0,0,-5 db,Sad
19,Muli,Ace Banzuelo,67,144,"opm, p-pop, pinoy r&b","Pop, R&B",48,88,1,0,28,0,10,-4 db,Sad
20,Someday,Nina,63,133,opm,Pop,56,21,94,0,51,0,10,-11 db,Sad
21,Pasensya Ka Na,Silent Sanctuary,67,84,opm,Pop,70,26,51,0,28,0,0,-15 db,Sad
22,"Umaaraw, Umuulan",Rivermaya,62,135,opm,Pop,56,86,2,0,60,0,30,-5 db,Sad
23,You'll Be Safe Here,Rico Blanco,72,75,"opm, pinoy rock","Pop, Rock",51,54,9,0,46,0,10,-10 db,Sad
24,Lose You To Love Me,Selena Gomez,81,103,"pop, post-teen pop",Pop,49,34,56,0,10,0,20,-9 db,Sad
25,When I Was Your Man,Bruno Mars,89,73,"dance pop, pop",Pop,61,28,93,0,39,0,0,-9 db,Sad
26,Somewhere Only We Know,Keane,86,172,"neo mellow, piano rock, pop rock","Folk/Acoustic, Rock",45,67,6,0,30,0,0,-4 db,Sad
27,Be My Mistake,The 1975,68,110,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",57,16,84,0,9,0,0,-14 db,Sad
28,Heather,Conan Gray,88,102,"bedroom pop, pop, pov: indie",Pop,36,43,58,0,27,0,30,-7 db,Sad
29,Cry,Cigarettes After Sex,86,143,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",41,40,76,68,16,0,10,-10 db,Sad
30,Apocalypse,Cigarettes After Sex,90,94,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",37,47,2,57,18,0,10,-9 db,Sad
31,The Day You Said Goodnight,Hale,72,134,"opm, pinoy reggae",Pop,56,56,51,0,24,0,10,-7 db,Sad
32,Robbers,The 1975,72,100,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",62,69,0,0,38,0,30,-7 db,Sad
33,Fallingforyou,The 1975,64,85,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",26,28,89,0,8,0,30,-15 db,Sad
34,Sparks,Coldplay,88,103,"permanent wave, pop","Rock, Pop",37,27,75,5,17,0,10,-11 db,Sad
35,Let You Break My Heart Again,"Laufey,Philharmonia Orchestra",79,77,"gen z singer-songwriter, british orchestra, orchestra",Classical,30,14,97,11,12,0,10,-15 db,Sad
1,Superhero,Lauv,57,130,pop,Pop,68,34,82,0,42,0,20,-9 db,Angry
2,Robbers,The 1975,72,100,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",62,69,0,0,38,0,30,-7 db,Angry
3,You’re Losing Me (From The Vault),Taylor Swift,86,103,pop,Pop,75,39,53,0,20,0,10,-14 db,Angry
