#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
55,I Will Follow You Into the Dark,Jasmine Thompson,40,140,viral pop,Pop,54,23,93,0,31,0,10,-11 db,Sad
56,Sweet,Cigarettes After Sex,83,97,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",45,51,35,77,12,0,10,-9 db,Sad
57,Heavenly,Cigarettes After Sex,79,105,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",54,44,67,69,13,0,10,-9 db,Sad
58,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,76,97,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",51,33,26,15,10,0,10,-14 db,Sad
59,K.,Cigarettes After Sex,86,94,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",45,40,14,85,33,0,10,-10 db,Sad
60,1000x,"Jarryd James,BROODS",49,112,"australian alternative pop, australian r&b, auckland indie, etherpop, indietronica, metropopolis, nz pop","Rock, Pop, R&B, Electronic",55,58,16,3,6,0,0,-7 db,Sad
61,All I Want,Kodaline,81,187,"irish pop, modern rock, neo mellow","Pop, Rock, Folk/Acoustic",19,41,17,15,16,0,0,-10 db,Sad
62,Vienna,Billy Joel,82,125,"album rock, classic rock, heartland rock, mellow gold, piano rock, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic",53,50,66,0,31,0,0,-7 db,Sad
63,Love Like This,Ben Rector,61,140,"acoustic pop, indiecoustica, lds youth, neo mellow, piano rock","Pop, Folk/Acoustic, Rock",64,14,90,0,39,0,10,-11 db,Sad
64,Heal,Tom Odell,74,72,chill pop,Pop,45,18,95,0,12,0,10,-13 db,Sad
65,5:00 AM,"LSP,MORGENSHTERN",38,175,"belarusian hip hop, russian alt pop, russian hip hop, russian trap","Hip Hop, Pop",67,55,3,0,62,0,40,-7 db,Sad
66,To The Sea,Jack Johnson,46,160,neo mellow,Folk/Acoustic,59,43,56,0,52,0,20,-8 db,Sad
67,Dead To Me,POSTERCHILD,41,124,,,74,32,1,83,16,0,20,-10 db,Angry
68,Nightmare,Halsey,64,146,"electropop, etherpop, indie poptimism, pop",Pop,61,62,2,0,54,0,30,-5 db,Angry
69,Joke's On You,Charlotte Lawrence,65,190,alt z,Pop,48,65,23,0,47,10,10,-5 db,Angry
70,I'm Gonna Show You Crazy,Bebe Rexha,61,90,"dance pop, pop",Pop,47,54,8,0,34,0,30,-7 db,Angry
71,hostage,Billie Eilish,74,130,"art pop, pop",Pop,43,12,87,0,4,0,0,-15 db,Angry
72,Twisted,MISSIO,65,98,"modern alternative rock, modern rock",Rock,58,79,1,1,15,0,20,-5 db,Angry
73,TAG TEAM,"Yung TDS,Dracoo",2,140,,,46,70,8,0,41,20,20,-8 db,Angry
74,Believer,Imagine Dragons,88,125,"modern rock, pop, rock","Rock, Pop",78,78,6,0,67,10,0,-4 db,Angry
75,Miss Jackson (feat. LOLO),"Panic! At The Disco,LOLO",64,82,"modern rock, pop,","Rock, Pop",64,87,0,0,66,0,10,-6 db,Angry
76,COPYCAT,Billie Eilish,73,125,"art pop, pop",Pop,68,39,35,0,23,0,30,-11 db,Angry
77,Cannibal,Naethan Apollo,57,118,"pixel, pov: indie",Pop,86,34,26,0,68,20,10,-11 db,Angry
78,Therefore I Am,Billie Eilish,73,94,"art pop, pop",Pop,88,37,23,14,66,0,0,-8 db,Angry
79,Pacify Her,Melanie Martinez,78,158,"alt z, electropop, pop",Pop,58,59,5,0,37,0,20,-6 db,Angry
80,I See Red,Everybody Loves an Outlaw,76,157,modern blues rock,Rock,51,45,1,1,22,0,20,-8 db,Angry
81,Womanizer,"Meric Again,BRAN,Besomage,HALUNA",34,128,"covertronica, traprun,",Electronic,61,83,4,0,20,0,20,-7 db,Angry
82,Sorry Not Sorry,Demi Lovato,75,144,"pop, post-teen pop",Pop,71,64,2,0,89,20,20,-7 db,Angry
83,Alarm,Anne-Marie,65,147,pop,Pop,76,59,8,0,81,20,10,-5 db,Angry
84,Midnight Sky,Petit Biscuit,43,91,new french touch,Electronic,74,57,30,23,32,0,10,-10 db,Angry
85,Skyfall,Adele,86,76,"british soul, pop, pop soul, uk pop","R&B, Pop",35,55,42,0,8,0,10,-7 db,Angry
86,Dark Horse,"Katy Perry,Juicy J",77,132,"pop, crunk, memphis hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Pop",65,59,0,0,35,0,10,-6 db,Angry
87,Rumour Has It,Adele,68,120,"british soul, pop, pop soul, uk pop","R&B, Pop",61,75,62,0,57,0,10,-5 db,Angry
88,Bulletproof,Nate Smith,76,80,"contemporary country, modern country pop","Country, Pop",44,73,4,0,52,0,10,-5 db,Angry
89,Tears of Gold,Faouzia,66,150,"alt z, canadian pop",Pop,59,66,13,0,62,0,30,-6 db,Angry
90,Survivor,All Good Things,57,80,rebel blues,Blues,24,90,1,0,73,0,20,-4 db,Angry
91,Without Me,Eminem,89,112,"detroit hip hop, hip hop, rap",Hip Hop,91,67,0,0,66,0,20,-3 db,Angry
92,Hurts Like Hell (feat. Offset),"Madison Beer,Offset",59,75,"pop, atl hip hop, hip hop, pop rap, rap, trap","Hip Hop, Pop",70,56,19,0,61,10,0,-7 db,Angry
93,It Ain't Shit,Lil Pete,49,98,cali rap,Hip Hop,80,68,27,0,50,10,0,-4 db,Angry
94,You Don't Own Me (feat. G-Eazy),"SAYGRACE,G-Eazy",77,186,"r&b, indie pop rap, oakland hip hop, pop rap, rap","Hip Hop, R&B",33,64,16,0,26,0,0,-6 db,Angry
95,Let Me Blow Ya Mind,"TYMMA,Eden Golan",41,125,,,90,74,7,0,72,10,10,-6 db,Angry
96,Bounce,"Timbaland,Missy Elliott,Justin Timberlake,Dr. Dre",60,66,"dance pop, pop, pop rap, hip hop, hip pop, neo soul, r&b, rap, urban contemporary, virginia hip hop, g funk, gangster rap, west coast rap","Pop, Hip Hop, R&B",57,77,32,0,23,20,20,-4 db,Angry
97,Ditch,Empara Mi,37,90,channel islands indie,World/Traditional,56,86,19,0,49,10,90,-5 db,Angry
98,Facts only,Young Hot,0,98,,,64,93,22,0,84,30,10,-4 db,Angry
99,Bermuda,"Aesop Rock,Lealani",39,76,"abstract hip hop, alternative hip hop, conscious hip hop,",Hip Hop,66,73,23,0,57,30,10,-8 db,Angry
100,Fly on the Wall,Miley Cyrus,37,144,pop,Pop,56,96,16,0,70,0,10,-4 db,Angry
101,Black Heart,Audrey Hollow,31,93,,,40,92,0,0,38,0,0,-6 db,Angry
