#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
1,Sarashi-mono (feat. PUNPEE),"Gen Hoshino,PUNPEE",33,154,"j-acoustic, j-pop, japanese singer-songwriter, j-rap, japanese r&b","Pop, Hip Hop, R&B",82,59,5,0,61,20,0,-6 db,Sad
2,Edo,iwamizu,42,85,japanese jazz fusion,Jazz,64,69,75,75,60,0,10,-6 db,Sad
3,Fathom,iwamizu,14,90,japanese jazz fusion,Jazz,71,43,69,89,20,0,20,-15 db,Sad
4,Would That I,Hozier,71,131,"irish singer-songwriter, modern rock, pov: indie","Folk/Acoustic, Rock, Pop",52,53,24,1,50,0,10,-6 db,Sad
5,Girls Like Me,Will Joseph Cook,42,122,"kent indie, modern alternative pop","Rock, Pop",76,72,7,0,96,0,10,-6 db,Sad
6,Numb Little Bug,Em Beihold,74,85,"alt z, gen z singer-songwriter",Pop,74,53,33,0,64,0,20,-7 db,Sad
7,Make Your Own Kind Of Music,Cass Elliot,67,121,,,53,56,61,0,70,0,20,-13 db,Sad
8,rises the moon,Liana Flores,83,137,pov: indie,Pop,48,13,95,14,20,0,10,-20 db,Sad
9,Boys Will Be Bugs,Cavetown,42,179,"bedroom pop, indie pop, pov: indie",Pop,49,53,0,0,45,0,10,-12 db,Sad
10,My Happy Ending,Avril Lavigne,71,170,"canadian pop, candy pop, dance pop, pop",Pop,41,94,0,0,74,0,30,-2 db,Sad
11,Bad Day,Daniel Powter,77,140,"canadian pop, neo mellow, pop rock","Pop, Folk/Acoustic, Rock",60,79,45,0,52,0,10,-4 db,Sad
12,Make You Mine,PUBLIC,75,103,indie rockism,Rock,61,80,1,0,64,0,10,-4 db,Sad
13,A Thousand Miles,Vanessa Carlton,79,95,"lilith, neo mellow, piano rock, pop rock, post-teen pop","Folk/Acoustic, Rock, Pop",56,83,32,0,27,0,10,-4 db,Sad
14,Line Without a Hook,Ricky Montgomery,79,190,"la indie, pop, pov: indie",Pop,43,65,26,0,51,0,20,-5 db,Sad
15,Breakeven,The Script,77,94,"celtic rock, pop","Rock, Pop",63,70,14,0,49,0,0,-5 db,Sad
16,Lemon Boy,Cavetown,65,140,"bedroom pop, indie pop, pov: indie",Pop,51,48,19,0,32,0,0,-10 db,Sad
17,Mr. Loverman,Ricky Montgomery,79,130,"la indie, pop, pov: indie",Pop,64,53,25,0,49,0,20,-7 db,Sad
18,She Will Be Loved,Maroon 5,73,102,pop,Pop,71,71,6,0,54,0,10,-6 db,Sad
19,Bruno is Orange,"Hop Along, Queen Ansleis,Frances Quinlan",70,161,bubblegrunge,Rock,55,40,69,0,42,40,30,-10 db,Sad
20,This Is Home,Cavetown,70,130,"bedroom pop, indie pop, pov: indie",Pop,81,27,56,0,21,0,10,-12 db,Sad
21,prom dress,mxmtoon,69,120,"alt z, bedroom pop, indie pop, pov: indie",Pop,56,67,70,0,42,0,10,-6 db,Sad
22,Passing Through (Can't the Future Just Wait),Kaden MacKay,67,86,"pixel, pov: indie",Pop,54,15,91,0,67,10,20,-17 db,Sad
23,Dream Sweet in Sea Major,Miracle Musical,68,170,pov: indie,Pop,34,43,92,7,19,0,10,-11 db,Sad
24,Everything Stays (feat. Olivia Olson),"Adventure Time,Olivia Olson",68,85,"pov: indie,",Pop,48,10,94,0,35,0,10,-18 db,Sad
25,Cecily Smith (Bonus Track),Will Connolly,41,120,show tunes,Easy listening,77,26,82,0,37,0,0,-13 db,Sad
26,Another One of Those Days,Cavetown,49,135,"bedroom pop, indie pop, pov: indie",Pop,60,55,45,0,38,0,0,-9 db,Sad
27,Talk to Me,Cavetown,60,130,"bedroom pop, indie pop, pov: indie",Pop,63,32,67,0,23,0,0,-10 db,Sad
28,feelings are fatal,mxmtoon,58,96,"alt z, bedroom pop, indie pop, pov: indie",Pop,55,17,91,0,49,10,0,-16 db,Sad
29,Hello My Old Heart,The Oh Hellos,62,90,"folk-pop, pov: indie, san marcos tx indie, stomp and holler","Pop, Country, Folk/Acoustic",56,30,62,3,30,0,0,-11 db,Sad
30,"When She Loved Me - From ""Toy Story 2"" / Soundtrack Version",Sarah McLachlan,60,67,"canadian pop, canadian singer-songwriter, ectofolk, lilith, permanent wave, pop rock","Pop, Folk/Acoustic, Rock",39,18,98,0,24,0,0,-12 db,Sad
