#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
14,Sparks,Coldplay,88,103,"permanent wave, pop","Rock, Pop",37,27,75,5,17,0,10,-11 db,Sad
15,Di Na Muli,The Itchyworms,65,121,opm,Pop,52,47,70,0,26,0,10,-7 db,Sad
16,Midnight Sky,Miley Cyrus,76,110,pop,Pop,70,81,0,0,23,0,20,-6 db,Sad
17,When I Was Your Man,Bruno Mars,89,73,"dance pop, pop",Pop,61,28,93,0,39,0,0,-9 db,Sad
18,Because of You,Kelly Clarkson,73,140,"dance pop, pop, talent show",Pop,59,58,25,0,15,0,10,-5 db,Sad
19,The Man Who Can't Be Moved,The Script,77,100,"celtic rock, pop","Rock, Pop",61,63,44,0,31,0,10,-5 db,Sad
20,Back To December,Taylor Swift,66,142,pop,Pop,52,61,2,0,30,0,30,-6 db,Sad
21,Almost Is Never Enough,"Ariana Grande,Nathan Sykes",68,81,"pop, post-teen pop, talent show, teen pop",Pop,32,33,83,0,33,0,10,-7 db,Sad
22,When You're Gone,Avril Lavigne,70,142,"canadian pop, candy pop, dance pop, pop",Pop,46,72,19,0,17,0,20,-4 db,Sad
23,Tadhana,Up Dharma Down,76,156,opm,Pop,69,32,16,3,51,0,0,-13 db,Sad
24,The Day You Said Goodnight,Hale,72,134,"opm, pinoy reggae",Pop,56,56,51,0,24,0,10,-7 db,Sad
25,Walang Hanggan,Quest,48,107,pinoy rock,Rock,46,24,91,0,40,0,0,-16 db,Sad
26,All Too Well,Taylor Swift,63,93,pop,Pop,60,61,4,0,34,0,10,-8 db,Sad
27,The Way I Loved You,Taylor Swift,53,161,pop,Pop,44,71,3,0,38,0,10,-4 db,Sad
28,I'm Not The Only One,Sam Smith,85,82,"pop, uk pop",Pop,68,49,53,0,49,0,0,-6 db,Sad
29,Chasing Pavements,Adele,76,80,"british soul, pop, pop soul, uk pop","R&B, Pop",62,47,29,0,33,0,10,-6 db,Sad
30,Someone Like You,Adele,82,135,"british soul, pop, pop soul, uk pop","R&B, Pop",56,32,89,0,29,0,10,-8 db,Sad
31,Happier,Ed Sheeran,78,90,"pop, singer-songwriter pop, uk pop",Pop,52,39,54,0,24,0,10,-7 db,Sad
32,I Love You So,The Walters,89,76,"chicago indie, pov: indie","Rock, Pop",57,65,58,0,47,0,10,-5 db,Sad
33,Supermarket Flowers,Ed Sheeran,76,90,"pop, singer-songwriter pop, uk pop",Pop,59,24,91,0,26,0,0,-11 db,Sad
34,Talking to the Moon,Bruno Mars,83,146,"dance pop, pop",Pop,50,59,51,0,8,0,10,-5 db,Sad
35,Someday,Nina,63,133,opm,Pop,56,21,94,0,51,0,10,-11 db,Sad
36,Teka Lang,Emman,63,87,"opm, pinoy hip hop, tagalog rap","Pop, Hip Hop",56,24,75,0,26,0,10,-13 db,Sad
37,Through The Years,Kenny Rogers,63,131,"classic country pop, country, nashville sound, soft rock","Pop, Country, Rock",59,39,23,0,27,0,10,-11 db,Sad
1,vampire,Olivia Rodrigo,92,138,pop,Pop,51,53,18,0,35,0,20,-6 db,Angry
2,get him back!,Olivia Rodrigo,84,162,pop,Pop,55,85,1,0,74,10,60,-6 db,Angry
3,good 4 u,Olivia Rodrigo,86,167,pop,Pop,56,66,34,0,69,10,0,-5 db,Angry
4,traitor,Olivia Rodrigo,87,101,pop,Pop,38,34,69,0,8,0,10,-8 db,Angry
